ID,Symptom,weight
1,itching,1
2,skin_rash,3
3,nodal_skin_eruptions,4
4,continuous_sneezing,4
5,shivering,5
6,chills,3
7,joint_pain,3
8,stomach_pain,5
9,acidity,3
10,ulcers_on_tongue,4
11,muscle_wasting,3
12,vomiting,5
13,burning_micturition,6
14,spotting_urination,6
15,fatigue,4
16,weight_gain,3
17,anxiety,4
18,cold_hands_and_feets,5
19,mood_swings,3
20,weight_loss,3
21,restlessness,5
22,lethargy,2
23,patches_in_throat,6
24,irregular_sugar_level,5
25,cough,4
26,high_fever,7
27,sunken_eyes,3
28,breathlessness,4
29,sweating,3
30,dehydration,4
31,indigestion,5
32,headache,3
33,yellowish_skin,3
34,dark_urine,4
35,nausea,5
36,loss_of_appetite,4
37,pain_behind_the_eyes,4
38,back_pain,3
39,constipation,4
40,abdominal_pain,4
41,diarrhoea,6
42,mild_fever,5
43,yellow_urine,4
44,yellowing_of_eyes,4
45,acute_liver_failure,6
46,fluid_overload,6
47,swelling_of_stomach,7
48,swelled_lymph_nodes,6
49,malaise,6
50,blurred_and_distorted_vision,5
51,phlegm,5
52,throat_irritation,4
53,redness_of_eyes,5
54,sinus_pressure,4
55,runny_nose,5
56,congestion,5
57,chest_pain,7
58,weakness_in_limbs,7
59,fast_heart_rate,5
60,pain_during_bowel_movements,5
61,pain_in_anal_region,6
62,bloody_stool,5
63,irritation_in_anus,6
64,neck_pain,5
65,dizziness,4
66,cramps,4
67,bruising,4
68,obesity,4
69,swollen_legs,5
70,swollen_blood_vessels,5
71,puffy_face_and_eyes,5
72,enlarged_thyroid,6
73,brittle_nails,5
74,swollen_extremeties,5
75,excessive_hunger,4
76,extra_marital_contacts,5
77,drying_and_tingling_lips,4
78,slurred_speech,4
79,knee_pain,3
80,hip_joint_pain,2
81,muscle_weakness,2
82,stiff_neck,4
83,swelling_joints,5
84,movement_stiffness,5
85,spinning_movements,6
86,loss_of_balance,4
87,unsteadiness,4
88,weakness_of_one_body_side,4
89,loss_of_smell,3
90,bladder_discomfort,4
91,foul_smell_ofurine,5
92,continuous_feel_of_urine,6
93,passage_of_gases,5
94,internal_itching,4
95,toxic_look_(typhos),5
96,depression,3
97,irritability,2
98,muscle_pain,2
99,altered_sensorium,2
100,red_spots_over_body,3
101,belly_pain,4
102,abnormal_menstruation,6
103,dischromic_patches,6
104,watering_from_eyes,4
105,increased_appetite,5
106,polyuria,4
107,family_history,5
108,mucoid_sputum,4
109,rusty_sputum,4
110,lack_of_concentration,3
111,visual_disturbances,3
112,receiving_blood_transfusion,5
113,receiving_unsterile_injections,2
114,coma,7
115,stomach_bleeding,6
116,distention_of_abdomen,4
117,history_of_alcohol_consumption,5
118,fluid_overload,4
119,blood_in_sputum,5
120,prominent_veins_on_calf,6
121,palpitations,4
122,painful_walking,2
123,pus_filled_pimples,2
124,blackheads,2
125,scurring,2
126,skin_peeling,3
127,silver_like_dusting,2
130,small_dents_in_nails,2
131,inflammatory_nails,2
132,blister,4
133,red_sore_around_nose,2
134,yellow_crust_ooze,3
135,prognosis,5
